city,job_title,company,salary,location,experience,education,industry,salary_numeric,edu_code,exp_code
广州,Python数据分析师,广州埃浮盛网络科技有限公司,1-1.5万,广州,1-3年,本科,计算机软件,12.5,2.0,2.0
广州,销售运营专员(A96236),广州众山新材料股份有限公司,1.2-1.8万,广州,1-3年,本科,仪器仪表/工业自动化丨原材料和加工丨消费电子产品,15.0,2.0,2.0
广州,Python数据开发工程师-大数据部,中数通信息有限公司,8千-1.2万,广州,3-5年,本科,计算机软件,10.0,2.0,3.0
广州,技术开发顾问,广州杰锐体育设施有限公司,1-2万·13薪,广州,1-3年,大专,体育丨汽车研发/制造丨建材,16.25,1.0,2.0
广州,高级运维工程师,广州与搏科技有限公司,2-3万·15薪,广州,3-5年,本科,网络/信息安全丨计算机软件,31.25,2.0,3.0
广州,商务助理/项目助理,广州金穗隆信息科技股份有限公司,5-7千,广州,1-3年,本科,计算机硬件丨网络/信息安全丨人工智能,6.0,2.0,2.0
广州,ROS算法工程师（康复机器人经验，双休-广州）,广州欧迈志传感科技有限公司,1.2-1.5万,广州,1-3年,本科,仪器仪表/工业自动化,13.5,2.0,2.0
广州,高级Linux系统安全工程师,华腾建信科技有限公司,2.2-3.2万,广州,5-10年,本科,计算机软件,27.0,2.0,4.0
广州,数据分析工程师,中数通信息有限公司,8千-1.2万,广州,1-3年,本科,计算机软件,10.0,2.0,2.0
广州,大数据分析师,广州埃浮盛网络科技有限公司,1-1.5万,广州,1-3年,本科,计算机软件,12.5,2.0,2.0
广州,数据分析师,摩尼宝（宁波）国际贸易有限公司,8千-1万,广州,1-3年,本科,贸易/进出口,9.0,2.0,2.0
广州,数据分析工程师,广州博世舒适科技压缩机技术有限公司,1.3-2.2万·14薪,广州,1-3年,本科,机械/设备/重工,20.416666666666668,2.0,2.0
广州,数据分析师,庚恺（广州）网络科技工作室,9千-1.2万·13薪,广州,1-3年,本科,计算机软件,11.375,2.0,2.0
广州,数据分析师,广州易察市场研究有限公司,6-8千,广州,无经验,本科,云计算/大数据丨计算机服务,7.0,2.0,1.0
广州,数据分析师,广东健鸿智能科技服务有限公司,1.5-2万,广州,1-3年,本科,其他服务业,17.5,2.0,2.0
广州,数据分析师,广东长隆集团有限公司,1-1.3万,广州,3-5年,本科,酒店,11.5,2.0,3.0
广州,数据分析师,中准会计师事务所（特殊普通合伙）广东分所,5千-1万,广州,1-3年,本科,财务/审计/税务,7.5,2.0,2.0
广州,数据分析与BI工程师（现场面试）,深圳市法本信息技术股份有限公司,1-1.5万,广州,1-3年,本科,计算机软件,12.5,2.0,2.0
广州,资深数据分析师,天盛供应链（广州）有限公司,1.5-2万,广州,1-3年,本科,货运/物流/仓储,17.5,2.0,2.0
广州,高级数据分析师,广州易察市场研究有限公司,1-1.2万,广州,3-5年,本科,云计算/大数据丨计算机服务,11.0,2.0,3.0
广州,数据分析工程师 (MJ004265),中金支付有限公司,1.5-2万·13薪,广州,1-3年,本科,互联网金融/小额贷款丨计算机服务,18.958333333333332,2.0,2.0
广州,电商数据分析师,广州先迈商贸有限公司,8千-1.3万,广州,1-3年,本科,新媒体,10.5,2.0,2.0
广州,业务数据分析师,友邦资讯科技（广州）有限公司,1-1.6万,广州,3-5年,本科,计算机软件丨计算机服务,13.0,2.0,3.0
广州,IT数据分析岗（2026届校招）,泰康人寿保险有限责任公司广东分公司,8千-1万·14薪,广州,无经验,本科,保险,10.5,2.0,1.0
广州,BI数据分析师,广东健元药业有限公司,8千-1.5万,广州,1-3年,本科,制药/生物工程,11.5,2.0,2.0
广州,数据分析工程师(珠海莫仕),珠海保税区光联通讯技术有限公司,1-1.6万,广州,1-3年,本科,通信/网络设备,13.0,2.0,2.0
广州,算法工程师（数据分析方向）,前锦网络信息技术（上海）有限公司,30-50万/年,广州,3-5年,本科,人力资源服务,33.333333333333336,2.0,3.0
广州,python开发工程师,广州海颐软件有限公司,8千-1.5万,广州,1-3年,本科,计算机软件,11.5,2.0,2.0
广州,Python 全栈开发工程师（AI 方向）,康方药业有限公司,9千-1.8万,广州,1-3年,本科,制药/生物工程丨医疗设备/器械丨新能源,13.5,2.0,2.0
广州,高级数据分析师（电商方向）,前锦网络信息技术（上海）有限公司,1.5-2.5万·14薪,广州,3-5年,本科,人力资源服务,23.333333333333332,2.0,3.0
广州,数据分析专员,威凯检测技术有限公司,7千-1万,广州,1-3年,本科,检测/认证,8.5,2.0,2.0
广州,视频行为分析方向编程工程师（技术能力侧重）,苏交科集团股份有限公司,25-30万/年,广州,3-5年,本科,检测/认证,22.916666666666668,2.0,3.0
广州,资深数据分析师,天盛供应链（广州）有限公司,1.5-2万,广州,1-3年,本科,货运/物流/仓储,17.5,2.0,2.0
广州,python高级开发工程师,广州汇泽信息科技有限公司,8千-1.5万,广州,1-3年,本科,计算机软件,11.5,2.0,2.0
广州,用户数据分析预测及运营中级工程师,广州汽车集团股份有限公司,1.8-2.5万,广州,1-3年,本科,云计算/大数据丨人工智能丨汽车研发/制造,21.5,2.0,2.0
广州,数据分析,广州龙骐贸易有限公司,5-7千,广州,1-3年,本科,互联网/电子商务,6.0,2.0,2.0
广州,python开发工程师,广州海颐软件有限公司,1.1-2万,广州,1-3年,大专,计算机软件,15.5,1.0,2.0
广州,数据分析师,广州穗华能源科技有限公司,1-2万·13薪,广州,无经验,本科,电气/电力/水利丨新能源,16.25,2.0,1.0
广州,AI应用开发工程师,广东亚太天能科技股份有限公司,8千-1万,广州,3-5年,本科,电子/半导体/集成电路,9.0,2.0,3.0
广州,AI应用工程师,广州视声智能股份有限公司,1-1.5万,广州,1-3年,本科,电子/半导体/集成电路,12.5,2.0,2.0
广州,数据安全工程师,星河智联汽车科技有限公司,1.5-2.7万·15薪,广州,1-3年,本科,汽车研发/制造,26.25,2.0,2.0
广州,数据中心暖通测试/认证工程师,公诚管理咨询有限公司,9-15万/年,广州,1-3年,本科,人力资源服务,10.0,2.0,2.0
广州,数据工程师（Data）,珠海爱浦京软件股份有限公司,1.3-1.8万,广州,3-5年,本科,银行,15.5,2.0,3.0
广州,数据工程师,广州岭南商旅科技有限公司,15-25万/年,广州,3-5年,本科,批发/零售,16.666666666666668,2.0,3.0
广州,生物统计工程师,百奥泰生物制药股份有限公司,1-2万,广州,1-3年,本科,制药/生物工程,15.0,2.0,2.0
广州,高级运维工程师,广州与搏科技有限公司,2-3万·15薪,广州,3-5年,本科,网络/信息安全丨计算机软件,31.25,2.0,3.0
广州,技术开发顾问,广州杰锐体育设施有限公司,1-2万·13薪,广州,1-3年,大专,体育丨汽车研发/制造丨建材,16.25,1.0,2.0
广州,HMI前端3D实时设计工程师,法雷奥舒适驾驶辅助系统（广州）有限公司,1.5-2.7万·14薪,广州,1-3年,本科,汽车零部件,24.5,2.0,2.0
广州,道路检测工程师（2名）,苏交科集团股份有限公司,8千-1.2万,广州,5-10年,大专,检测/认证,10.0,1.0,4.0
广州,药企IT,广州市锐博生物科技有限公司,8千-1.5万,广州,3-5年,大专,制药/生物工程,11.5,1.0,3.0
广州,高级硬件测试工程师,广州超视计生物科技有限公司,1-1.6万·13薪,广州,3-5年,本科,医疗设备/器械,14.083333333333334,2.0,3.0
广州,上位机软件开发,广州维高集团有限公司,1-1.5万·13薪,广州,1-3年,本科,汽车零部件,13.541666666666666,2.0,2.0
广州,品保体系工程师,广州汇侨电子有限公司,6-8千,广州,1-3年,本科,电子/半导体/集成电路,7.0,2.0,2.0
广州,数据工程工程师（人体实测数据采集方向）,广州汇瀛科技发展有限公司,2-3万·15薪,广州,1-3年,本科,专业服务(咨询、人力资源、财会),31.25,2.0,2.0
广州,高级AIGC数据工程师,广州市斯睿特智能科技有限公司,2.5-3.5万,广州,3-5年,本科,人工智能丨仪器仪表/工业自动化,30.0,2.0,3.0
广州,CQE工程师(A56054),广州众山新材料股份有限公司,1.2-1.6万,广州,1-3年,大专,仪器仪表/工业自动化丨原材料和加工丨消费电子产品,14.0,1.0,2.0
广州,数据工程师（数据专员））,广州邦禾检测技术有限公司,7-9千·13薪,广州,3-5年,大专,检测/认证,8.666666666666666,1.0,3.0
广州,大数据工程师（架构方向）,广州家悦行智能科技有限公司,2-3.5万,广州,1-3年,本科,工程施工丨电气/电力/水利,27.5,2.0,2.0
广州,大数据工程师（学习、算法方向）,广州家悦行智能科技有限公司,2-3.5万,广州,1-3年,本科,工程施工丨电气/电力/水利,27.5,2.0,2.0
广州,客户品质工程师,广州市雄兵汽车部件有限公司,5千-1万,广州,1-3年,大专,汽车零部件,7.5,1.0,2.0
广州,初级大数据工程师,顺丰速运有限公司,8千-1万,广州,1-3年,本科,货运/物流/仓储,9.0,2.0,2.0
广州,安装造价工程师,广州众寻企业管理咨询有限公司,8千-1.2万,广州,1-3年,大专,房地产开发丨工程施工丨建筑工程检测,10.0,1.0,2.0
广州,汽车数据工程师,武汉欧可道企业管理咨询有限公司,1.2-1.6万·14薪,广州,1-3年,本科,机械/设备/重工丨仪器仪表/工业自动化,16.333333333333332,2.0,2.0
广州,数据工程师,广州新锐光掩模科技股份有限公司,8千-1.2万,广州,1-3年,本科,电子/半导体/集成电路,10.0,2.0,2.0
广州,海外光储售后技术工程师,广州市虎头新能源科技有限公司,1.2-1.5万,广州,1-3年,本科,新能源,13.5,2.0,2.0
广州,PLM系统开发工程师,广州融捷能源科技有限公司,1-1.8万,广州,1-3年,本科,新能源,14.0,2.0,2.0
广州,高级Linux系统安全工程师,华腾建信科技有限公司,2.2-3.2万,广州,5-10年,本科,计算机软件,27.0,2.0,4.0
广州,图像算法工程师,美茵（广州）医疗器械技术有限公司,1.5-3万,广州,3-5年,本科,医疗设备/器械,22.5,2.0,3.0
广州,具身智能VLA算法工程师,广电运通集团股份有限公司,2-2.7万,广州,1-3年,硕士,机械/设备/重工丨人工智能丨银行,23.5,3.0,2.0
广州,数据分析工程师 (MJ004265),中金支付有限公司,1.5-2万·13薪,广州,1-3年,本科,互联网金融/小额贷款丨计算机服务,18.958333333333332,2.0,2.0
广州,数据治理工程师,广州汇元数据技术有限公司,1-2万,广州,1-3年,本科,网络/信息安全丨计算机硬件丨计算机软件,15.0,2.0,2.0
广州,模具CNC编程工程师,广州斯坦雷电气有限公司,15-18万/年,广州,1-3年,本科,汽车研发/制造丨汽车零部件丨仪器仪表/工业自动化,13.75,2.0,2.0
广州,ROS算法工程师（康复机器人经验，双休-广州）,广州欧迈志传感科技有限公司,1.2-1.5万,广州,1-3年,本科,仪器仪表/工业自动化,13.5,2.0,2.0
广州,嵌入式软件工程师（音频/短距方向）,国光电器股份有限公司,1.2-2.4万,广州,1-3年,本科,机械/设备/重工丨消费电子产品丨电子/半导体/集成电路,18.0,2.0,2.0
广州,高级结构工程师,广州南盾通讯设备有限公司,1.2-1.6万,广州,3-5年,本科,通信/网络设备丨机械/设备/重工,14.0,2.0,3.0
广州,研发高级/资深工程师（压合/镭射）,广州兴森快捷电路科技有限公司,1.5-2.5万·14薪,广州,3-5年,本科,计算机软件,23.333333333333332,2.0,3.0
广州,注塑调机员,广州市蔼洋塑料工业有限公司,7千-1万·13薪,广州,1-3年,中技/中专,原材料和加工,9.208333333333334,2.0,2.0
广州,算法工程师（数据分析方向）,前锦网络信息技术（上海）有限公司,30-50万/年,广州,3-5年,本科,人力资源服务,33.333333333333336,2.0,3.0
